s1250125,s1250232,s1250123,s1250124,s1250525,s1350426,s1350428,s1350487,s1350429,s1260420,s1269427,s1299321;
0,10,30,0,93,80,20,0,40,30,70,0;
10,0,90,0,80,50,20,10,50,20,90,0;
30,90,0,0,30,50,10,20,10,30,40,0;
0,0,0,0,0,0,0,0,0,0,0,0;
93,80,30,0,0,30,0,10,10,20,20,0;
80,50,50,0,30,0,30,20,40,60,10,0;
20,20,10,0,0,30,0,10,20,30,10,0;
0,10,20,0,10,20,10,0,10,20,10,0;
40,50,10,0,10,40,20,10,0,30,40,0;
30,20,30,0,20,60,30,20,30,0,70,0;
70,90,40,0,20,10,10,10,40,70,0,0;
0,0,0,0,0,0,0,0,0,0,0,0
